Reg,Bidding History,Bidding Status
KX08 CHH,"['£1,025', '£1,000', '£975', '£950', '£925', '£900', '£875', '£850', '£825', '£800', '£775', '£750', '£725', '£700', '£675', '£650', '£625', '£600', '£575', '£550', '£525', '£500', '£400']",On Sale
KX08 CHH,"['£1,075', '£1,050', '£1,025', '£1,000', '£975', '£950', '£925', '£900', '£875', '£850', '£825', '£800', '£775', '£750', '£725', '£700', '£675', '£650', '£625', '£600', '£575', '£550', '£525', '£500', '£400']",On Sale
KX08 CHH,"['£1,075', '£1,050', '£1,025', '£1,000', '£975', '£950', '£925', '£900', '£875', '£850', '£825', '£800', '£775', '£750', '£725', '£700', '£675', '£650', '£625', '£600', '£575', '£550', '£525', '£500', '£400']",On Sale
NG13 YEK,['£300'],Reserve not met
NG13 YEK,"['£500', '£400', '£300']",On Sale
NG13 YEK,"['£525', '£500', '£400', '£300']",On Sale
NG13 YEK,"['£550', '£525', '£500', '£400', '£300']",On Sale
KM58 HPZ,['£100'],Reserve not met
KM58 HPZ,"['£125', '£100']",Reserve not met
KM58 HPZ,"['£175', '£150', '£125', '£100']",Reserve not met
KM58 HPZ,"['£175', '£150', '£125', '£100']",Reserve not met
DV55 PKD,['£800'],Reserve not met
DV55 PKD,"['£900', '£875', '£850', '£825', '£800']",Reserve not met
DV55 PKD,"['£925', '£900', '£875', '£850', '£825', '£800']",Provisional
DV55 PKD,"['£925', '£900', '£875', '£850', '£825', '£800']",Provisional
DV55 PKD,"['£925', '£900', '£875', '£850', '£825', '£800']",Provisional
DV55 PKD,"['£925', '£900', '£875', '£850', '£825', '£800']",On Sale
LY10 BYL,"['£1,100']",Reserve not met
LY10 BYL,"['£1,400', '£1,300', '£1,200', '£1,100']",On Sale
LY10 BYL,"['£1,425', '£1,400', '£1,300', '£1,200', '£1,100']",On Sale
LY10 BYL,"['£1,450', '£1,425', '£1,400', '£1,300', '£1,200', '£1,100']",On Sale
LY10 BYL,"['£1,525', '£1,500', '£1,475', '£1,450', '£1,425', '£1,400', '£1,300', '£1,200', '£1,100']",On Sale
LY10 BYL,"['£1,575', '£1,550', '£1,525', '£1,500', '£1,475', '£1,450', '£1,425', '£1,400', '£1,300', '£1,200', '£1,100']",On Sale
LY10 BYL,"['£1,625', '£1,600', '£1,575', '£1,550', '£1,525', '£1,500', '£1,475', '£1,450', '£1,425', '£1,400', '£1,300', '£1,200', '£1,100']",On Sale
LY10 BYL,"['£1,675', '£1,650', '£1,625', '£1,600', '£1,575', '£1,550', '£1,525', '£1,500', '£1,475', '£1,450', '£1,425', '£1,400', '£1,300', '£1,200', '£1,100']",On Sale
LY10 BYL,"['£1,750', '£1,725', '£1,700', '£1,675', '£1,650', '£1,625', '£1,600', '£1,575', '£1,550', '£1,525', '£1,500', '£1,475', '£1,450', '£1,425', '£1,400', '£1,300', '£1,200', '£1,100']",On Sale
P4 VDO,"['£400', '£300']",On Sale
P4 VDO,"['£425', '£400', '£300']",On Sale
P4 VDO,"['£450', '£425', '£400', '£300']",On Sale
P4 VDO,"['£475', '£450', '£425', '£400', '£300']",On Sale
CK03 JUT,['£300'],Reserve not met
CK03 JUT,"['£425', '£400', '£375', '£350', '£325', '£300']",Reserve not met
CK03 JUT,"['£425', '£400', '£375', '£350', '£325', '£300']",Reserve not met
CK03 JUT,"['£425', '£400', '£375', '£350', '£325', '£300']",Reserve not met
CK03 JUT,"['£425', '£400', '£375', '£350', '£325', '£300']",On Sale
PN59 VXO,['£100'],Reserve not met
PN59 VXO,"['£300', '£275', '£250', '£225', '£200', '£175', '£150', '£125', '£100']",On Sale
PN59 VXO,"['£350', '£325', '£300', '£275', '£250', '£225', '£200', '£175', '£150', '£125', '£100']",On Sale
WL07 HHT,['£600'],Reserve not met
WL07 HHT,"['£725', '£700', '£675', '£650', '£625', '£600']",Provisional
WL07 HHT,"['£725', '£700', '£675', '£650', '£625', '£600']",Provisional
WL07 HHT,"['£725', '£700', '£675', '£650', '£625', '£600']",On Sale
WL07 HHT,"['£750', '£725', '£700', '£675', '£650', '£625', '£600']",On Sale
SL10 LKG,['£600'],Reserve not met
SL10 LKG,"['£625', '£600']",Reserve not met
SL10 LKG,"['£725', '£700', '£675', '£650', '£625', '£600']",Provisional
SL10 LKG,"['£725', '£700', '£675', '£650', '£625', '£600']",Provisional
SL10 LKG,"['£725', '£700', '£675', '£650', '£625', '£600']",On Sale
GJ12 GBV,['£600'],Reserve not met
GJ12 GBV,"['£650', '£625', '£600']",Reserve not met
GJ12 GBV,"['£750', '£725', '£700', '£675', '£650', '£625', '£600']",Provisional
GJ12 GBV,"['£800', '£775', '£750', '£725', '£700', '£675', '£650', '£625', '£600']",On Sale
ET57 EWM,['£800'],Reserve not met
ET57 EWM,"['£900', '£800']",Reserve not met
ET57 EWM,"['£1,025', '£1,000', '£975', '£950', '£925', '£900', '£800']",On Sale
ET57 EWM,"['£1,100', '£1,075', '£1,050', '£1,025', '£1,000', '£975', '£950', '£925', '£900', '£800']",On Sale
ET57 EWM,['£400'],Reserve not met
DE14 YPT,"['£625', '£600', '£575', '£550', '£525', '£500', '£400']",Reserve not met
DE14 YPT,"['£625', '£600', '£575', '£550', '£525', '£500', '£400']",Reserve not met
DE14 YPT,"['£625', '£600', '£575', '£550', '£525', '£500', '£400']",On Sale
DE14 YPT,"['£650', '£625', '£600', '£575', '£550', '£525', '£500', '£400']",On Sale
SA11 UZV,['£200'],Reserve not met
